date,nepse_index,turnover,market_cap,traded_shares
2024-11-01,2225.41,7159969709.0,3671929645272.0,12304572
2024-11-04,2229.63,6484250790.0,3678883859917.0,10234489
2024-11-05,2241.29,7040362889.0,3698132995545.0,12523669
2024-11-06,2266.14,3782057895.0,3739123553870.0,21953367
2024-11-07,2264.42,4409124836.0,3736297542656.0,9262752
2024-11-08,2281.04,5021211215.0,3763723761345.0,13664789
2024-11-11,2243.38,3733328316.0,3701573968529.0,12721339
2024-11-12,2260.94,5331809216.0,3730548149075.0,20648637
2024-11-13,2271.74,5412309956.0,3748367601804.0,19863283
2024-11-14,2264.6,6462072844.0,3736583438699.0,10428388
2024-11-15,2250.54,3825257965.0,3713386920699.0,11416664
2024-11-18,2264.05,8328160165.0,3735687978321.0,19184121
2024-11-19,2259.97,6921165133.0,3728944652390.0,19392366
2024-11-20,2261.47,6916317594.0,3731429807560.0,10669995
2024-11-21,2258.6,8046602010.0,3726693912555.0,12155299
2024-11-22,2265.28,4411180439.0,3737709189086.0,14249859
2024-11-25,2275.86,6233551397.0,3755167687680.0,13414709
2024-11-26,2247.01,3656566462.0,3707562071321.0,18484113
2024-11-27,2257.68,8109371175.0,3725169678559.0,18973639
2024-11-28,2280.38,6352219872.0,3762622863483.0,13596411
2024-11-29,2285.11,5443386448.0,3770429605102.0,15807313
2024-12-02,2286.46,6198460662.0,3772658571612.0,11494679
2024-12-03,2268.69,6213480416.0,3743332093990.0,9285160
2024-12-04,2259.51,4981367529.0,3728191325888.0,13173036
2024-12-05,2254.05,3527610586.0,3719186342027.0,20719242
2024-12-06,2271.84,4494212020.0,3748543405847.0,9737095
2024-12-09,2294.91,3870223259.0,3786608584534.0,20871910
2024-12-10,2315.66,6755385128.0,3820839459410.0,11853339
2024-12-11,2328.74,5154490124.0,3842427612910.0,12545583
2024-12-12,2353.9,5354091261.0,3883942588021.0,11747389
2024-12-13,2383.18,6687787357.0,3932250020209.0,10121690
2024-12-16,2373.21,6306217129.0,3915790944765.0,8491234
2024-12-17,2387.19,7303925243.0,3938867046177.0,19525337
2024-12-18,2382.03,4679924599.0,3930355319777.0,17286029
2024-12-19,2453.44,5637705092.0,4048180965899.0,16511017
2024-12-20,2442.74,5696682509.0,4030518240491.0,18739378
2024-12-23,2451.77,5071779905.0,4045416553583.0,11256415
2024-12-24,2453.26,6977580432.0,4047875928962.0,19221476
2024-12-25,2450.13,7277755693.0,4042713544758.0,17602083
2024-12-26,2428.18,8214267853.0,4006489089123.0,13193542
2024-12-27,2419.75,8148488262.0,3992594790001.0,19445821
2024-12-30,2417.3,6667018783.0,3988546073907.0,9575557
2024-12-31,2395.88,5582549739.0,3953209972851.0,10009021
2025-01-01,2398.69,6196711210.0,3957832144502.0,19822585
2025-01-02,2399.6,8034142208.0,3959332157081.0,19171200
2025-01-03,2390.25,4639675813.0,3943919330491.0,13697469
2025-01-06,2380.78,6170447097.0,3928291788213.0,9954109
2025-01-07,2378.28,4610539052.0,3924154724384.0,19501362
2025-01-08,2368.15,4341455211.0,3907453922913.0,8061087
2025-01-09,2359.77,6093953109.0,3893626095083.0,14409907
2025-01-10,2371.71,8312236475.0,3913329412745.0,15654909
2025-01-13,2377.42,6981521364.0,3922738749849.0,13725570
2025-01-14,2364.15,3684434737.0,3900848868599.0,8813168
2025-01-15,2352.47,8383074779.0,3881575985806.0,11782875
2025-01-16,2355.91,4224474360.0,3887247404151.0,13031595
2025-01-17,2368.66,5738915823.0,3908286659353.0,17070277
2025-01-20,2390.3,7308098077.0,3944002047319.0,15103230
2025-01-21,2375.49,7515698782.0,3919555779224.0,14659908
2025-01-22,2409.32,6178873420.0,3975376691183.0,9915631
2025-01-23,2443.38,7491725625.0,4031582976032.0,17792712
