symbol,company,sector,ltp,change,change_pct,open,high,low,volume,turnover,week52_high,week52_low
NABIL,Nabil Bank Ltd,Banking,1245,32.0,2.64,1215.0,1260.0,1210.0,45230,55891350,1380,980
ADBL,Agricultural Dev Bank,Banking,385,-8.0,-2.04,393.0,395.0,382.0,32100,12358500,450,310
NICA,NIC Asia Bank,Banking,620,15.0,2.48,608.0,628.0,605.0,28750,17832500,710,520
EBL,Everest Bank Ltd,Banking,1890,45.0,2.44,1848.0,1910.0,1840.0,12400,23433600,2100,1550
GBIME,Global IME Bank,Banking,295,-5.0,-1.67,300.0,302.0,292.0,67890,20027550,360,240
SBL,Sunrise Bank,Banking,155,3.0,1.97,152.0,158.0,151.0,89200,13826000,185,120
SCB,Standard Chartered Bank,Banking,4250,110.0,2.66,4140.0,4280.0,4120.0,5600,23800000,4700,3500
NBL,Nepal Bank Ltd,Banking,228,-4.0,-1.72,232.0,234.0,226.0,54300,12380400,275,185
KBL,Kumari Bank,Banking,178,4.0,2.3,174.0,180.0,172.0,41200,7333600,210,145
MBL,Machhapuchchhre Bank,Banking,142,-2.0,-1.39,144.0,145.0,140.0,63400,9002800,168,110
NLIC,Nepal Life Insurance,Insurance,2890,65.0,2.3,2825.0,2920.0,2810.0,8900,25721000,3200,2300
LICN,Life Insurance Corp Nepal,Insurance,1450,-20.0,-1.36,1470.0,1475.0,1440.0,11200,16240000,1650,1100
PICL,Premier Insurance,Insurance,680,18.0,2.72,665.0,690.0,660.0,15600,10608000,780,550
SLICL,Surya Life Insurance,Insurance,1120,30.0,2.75,1092.0,1135.0,1085.0,9800,10976000,1280,900
NLICL,Nepal Life Insurance Co,Insurance,890,-12.0,-1.33,902.0,908.0,885.0,13400,11926000,1020,720
NIFRA,Nepal Infrastructure Bank,Development Bank,82,2.0,2.5,80.0,84.0,79.0,125000,10250000,98,65
SHINE,Shine Resunga Dev Bank,Development Bank,215,-3.0,-1.38,218.0,220.0,213.0,43200,9288000,255,170
MLBL,Mahalaxmi Bikas Bank,Development Bank,178,5.0,2.89,173.0,180.0,172.0,38900,6924200,210,140
SDBL,Siddhartha Dev Bank,Development Bank,195,4.0,2.1,191.0,198.0,190.0,29800,5811000,228,155
CFCL,Citizens Finance,Finance,62,1.5,2.48,60.5,63.0,60.0,198000,12276000,78,48
GFCL,Goodwill Finance,Finance,55,-1.0,-1.79,56.0,57.0,54.5,234000,12870000,72,42
MFIL,Manjushree Finance,Finance,48,0.8,1.69,47.2,49.0,47.0,312000,14976000,62,36
UPPER,Upper Tamakoshi Hydro,Hydropower,298,8.0,2.76,290.0,302.0,288.0,78500,23393000,345,240
NHPC,Nepal Hydro Power,Hydropower,72,1.8,2.56,70.2,73.5,70.0,312000,22464000,88,55
RURU,Ruru Hydropower,Hydropower,45,-0.8,-1.75,45.8,46.5,44.5,456000,20520000,58,34
CHCL,Chilime Hydropower,Hydropower,520,12.0,2.36,510.0,528.0,506.0,23400,12168000,600,420
BPCL,Butwal Power Company,Hydropower,385,9.5,2.53,376.0,390.0,374.0,31200,12012000,445,305
HDHPC,Hidden Valley Hydro,Hydropower,38,-0.6,-1.55,38.6,39.2,37.8,523000,19874000,50,28
NTC,Nepal Telecom,Telecom,785,-10.0,-1.26,795.0,798.0,780.0,34500,27082500,880,650
VIANET,Vianet Communications,Telecom,890,22.0,2.53,870.0,898.0,865.0,12300,10947000,1020,720
SHIVM,Shiv Motors,Manufacturing,145,3.5,2.47,141.5,147.0,140.0,67800,9831000,172,110
UNL,Unilever Nepal,Manufacturing,14800,320.0,2.21,14480.0,14950.0,14420.0,1200,17760000,16500,12000
NHDL,Nepal Hydrological Dev,Manufacturing,68,-1.2,-1.73,69.2,70.0,67.5,189000,12852000,85,52
